,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
0,6,NJN,Mike O'Koren,University of North Carolina,8,407,8810,3355,1391,856,.490,.271,.651,21.6,8.2,3.4,2.1,14.6,.080,-0.5,3.2,1980
1,7,NJN,Mike Gminski,Duke University,14,938,24058,10953,6480,1203,.465,.122,.843,25.6,11.7,6.9,1.3,55.9,.111,-0.6,8.7,1980
2,8,PHI,Andrew Toney,University of Louisiana at Lafayette,8,468,12608,7458,1009,1965,.500,.342,.797,26.9,15.9,2.2,4.2,26.9,.103,-1.2,2.6,1980
3,9,SDC,Michael Brooks,La Salle University,6,319,9372,4086,2001,818,.486,.152,.714,29.4,12.8,6.3,2.6,16.5,.085,1.0,7.1,1980
4,10,POR,Ronnie Lester,University of Iowa,6,250,4959,1816,473,1003,.469,.227,.788,19.8,7.3,1.9,4.0,6.3,.061,-2.7,-0.8,1980
5,6,CHI,Orlando Woolridge,University of Notre Dame,13,851,24041,13623,3696,1609,.513,.091,.737,28.3,16.0,4.3,1.9,53.0,.106,-0.4,9.8,1981
6,7,KCK,Steve Johnson,Oregon State University,10,626,13618,7345,3450,777,.572,.000,.634,21.8,11.7,5.5,1.2,26.9,.095,-0.7,4.5,1981
7,8,SDC,Tom Chambers,University of Utah,16,1107,33922,20049,6703,2283,.468,.307,.807,30.6,18.1,6.1,2.1,79.0,.112,-0.5,13.2,1981
8,9,DAL,Rolando Blackman,Kansas State University,13,980,32087,17623,3278,2981,.493,.343,.840,32.7,18.0,3.3,3.0,75.6,.113,-0.1,15.3,1981
9,10,NJN,Albert King,University of Maryland,9,534,12836,6470,2262,1171,.461,.268,.791,24.0,12.1,4.2,2.2,16.3,.061,-1.5,1.8,1981
10,6,NYK,Trent Tucker,University of Minnesota,11,756,15671,6236,1520,1532,.461,.408,.754,20.7,8.2,2.0,2.0,34.3,.105,0.3,9.0,1982
11,7,CHI,Quintin Dailey,University of San Francisco,10,528,12170,7470,1307,1188,.454,.158,.779,23.0,14.1,2.5,2.3,12.7,.050,-2.9,-2.7,1982
12,8,IND,Clark Kellogg,Ohio State University,5,260,8514,4918,2482,764,.497,.338,.757,32.7,18.9,9.5,2.9,20.9,.118,2.1,8.9,1982
13,9,DET,Cliff Levingston,Wichita State University,11,830,16962,5888,4307,752,.516,.152,.676,20.4,7.1,5.2,0.9,44.2,.125,1.4,14.4,1982
14,10,ATL,Keith Edmonson,Purdue University,2,87,931,522,127,56,.448,.000,.719,10.7,6.0,1.5,0.6,0.4,.022,-4.6,-0.6,1982
15,6,GSW,Russell Cross,Purdue University,1,45,354,166,82,22,.571,,.418,7.9,3.7,1.8,0.5,0.8,.106,-1.8,0.0,1983
16,7,UTA,Thurl Bailey,North Carolina State University,12,928,24873,11834,4718,1298,.473,.114,.812,26.8,12.8,5.1,1.4,45.0,.087,-1.3,4.2,1983
17,8,DET,Antoine Carr,Wichita State University,16,987,19780,9176,3384,1086,.503,.130,.780,20.0,9.3,3.4,1.1,42.1,.102,-0.6,7.0,1983
18,9,DAL,Dale Ellis,University of Tennessee,17,1209,34778,19004,4201,1746,.479,.403,.784,28.8,15.7,3.5,1.4,84.7,.117,0.3,20.5,1983
19,10,WSB,Jeff Malone,Mississippi State University,13,905,29660,17231,2364,2154,.484,.268,.871,32.8,19.0,2.6,2.4,54.2,.088,-2.1,-0.9,1983
20,6,WSB,Melvin Turpin,University of Kentucky,5,361,6871,3071,1655,183,.516,.111,.777,19.0,8.5,4.6,0.5,13.7,.096,-1.4,1.0,1984
21,7,SAS,Alvin Robertson,University of Arkansas,10,779,24669,10882,4066,3929,.477,.295,.743,31.7,14.0,5.2,5.0,52.1,.101,4.0,37.3,1984
22,8,LAC,Lancaster Gordon,University of Louisville,4,201,2581,1125,259,294,.391,.271,.767,12.8,5.6,1.3,1.5,-2.7,-.050,-5.8,-2.5,1984
23,9,KCK,Otis Thorpe,Providence College,17,1257,39822,17600,10370,2730,.546,.047,.687,31.7,14.0,8.2,2.2,106.4,.128,1.2,32.2,1984
24,10,PHI,Leon Wood,"California State University, Fullerton",6,274,4531,1742,316,867,.392,.326,.792,16.5,6.4,1.2,3.2,6.7,.071,-3.3,-1.5,1984
25,6,SAC,Joe Kleine,University of Arkansas,15,965,14712,4666,3991,622,.453,.271,.794,15.2,4.8,4.1,0.6,19.1,.062,-3.6,-5.9,1985
26,7,GSW,Chris Mullin,St. John's University,16,986,32163,17911,4034,3450,.509,.384,.865,32.6,18.2,4.1,3.5,93.1,.139,2.8,38.7,1985
27,8,DAL,Detlef Schrempf,University of Washington,16,1136,33597,15761,7023,3833,.491,.384,.803,29.6,13.9,6.2,3.4,109.5,.156,2.1,35.0,1985
28,9,CLE,Charles Oakley,Virginia Union University,19,1282,40280,12417,12205,3217,.471,.253,.761,31.4,9.7,9.5,2.5,89.7,.107,1.5,35.3,1985
29,10,PHO,Ed Pinckney,Villanova University,12,793,15698,5378,3952,727,.535,.000,.765,19.8,6.8,5.0,0.9,42.7,.130,0.8,11.2,1985
30,6,PHO,William Bedford,University of Memphis,6,238,2514,964,573,109,.416,.318,.605,10.6,4.1,2.4,0.5,0.9,.017,-5.1,-2.0,1986
31,7,DAL,Roy Tarpley,University of Michigan,6,280,7476,3533,2803,292,.483,.176,.744,26.7,12.6,10.0,1.0,19.8,.127,0.2,4.2,1986
32,8,CLE,Ron Harper,Miami University,15,1009,31199,13910,4309,3916,.446,.289,.720,30.9,13.8,4.3,3.9,65.8,.101,2.1,32.0,1986
33,9,CHI,Brad Sellers,Ohio State University,6,398,7154,2509,1064,435,.452,.200,.793,18.0,6.3,2.7,1.1,9.8,.066,-2.6,-1.0,1986
34,10,SAS,Johnny Dawkins,Duke University,9,541,14859,5984,1336,2997,.456,.330,.857,27.5,11.1,2.5,5.5,21.8,.070,-1.8,0.7,1986
35,6,SAC,Kenny Smith,University of North Carolina,10,737,22213,9397,1454,4073,.480,.399,.829,30.1,12.8,2.0,5.5,46.8,.101,-1.2,4.4,1987
36,7,CLE,Kevin Johnson,University of California,12,735,25061,13127,2404,6711,.493,.305,.841,34.1,17.9,3.3,9.1,92.8,.178,2.4,28.0,1987
37,8,CHI,Olden Polynice,University of Virginia,15,1058,24884,8265,7110,744,.505,.192,.535,23.5,7.8,6.7,0.7,46.8,.090,-1.6,2.7,1987
38,9,SEA,Derrick McKey,University of Alabama,15,937,27229,10266,4387,2254,.486,.316,.779,29.1,11.0,4.7,2.4,61.8,.109,2.0,27.3,1987
39,10,CHI,Horace Grant,Clemson University,17,1165,38621,12996,9443,2575,.509,.063,.692,33.2,11.2,8.1,2.2,118.2,.147,2.6,44.4,1987
40,6,LAC,Hersey Hawkins,Bradley University,13,983,32034,14470,3554,2860,.461,.394,.870,32.6,14.7,3.6,2.9,90.6,.136,2.4,35.7,1988
41,7,PHO,Tim Perry,Temple University,8,481,9436,3283,1911,436,.485,.318,.648,19.6,6.8,4.0,0.9,14.6,.074,-0.7,3.0,1988
42,8,CHH,Rex Chapman,University of Kentucky,12,666,19542,9731,1645,1798,.430,.350,.800,29.3,14.6,2.5,2.7,24.7,.061,-1.5,2.2,1988
43,9,MIA,Rony Seikaly,Syracuse University,11,678,21395,9991,6424,860,.484,.188,.679,31.6,14.7,9.5,1.3,37.3,.084,-1.6,2.2,1988
44,10,SAS,Willie Anderson,University of Georgia,9,555,15974,6771,2082,2105,.471,.266,.786,28.8,12.2,3.8,3.8,27.9,.084,0.0,8.3,1988
45,6,CHI,Stacey King,University of Oklahoma,8,438,7406,2819,1460,387,.478,.235,.707,16.9,6.4,3.3,0.9,10.9,.071,-3.0,-1.9,1989
46,7,IND,George McCloud,Florida State University,12,766,17429,6925,2342,1769,.402,.358,.810,22.8,9.0,3.1,2.3,24.6,.068,-0.7,5.6,1989
