,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
0,1,DET,Bob Lanier,St. Bonaventure University,14,959,32103,19248,9698,3007,.514,.154,.767,33.5,20.1,10.1,3.1,117.1,.175,5.0,41.9,1970
1,2,SDR,Rudy Tomjanovich,University of Michigan,11,768,25714,13383,6198,1573,.501,.262,.784,33.5,17.4,8.1,2.0,70.4,.131,0.7,12.8,1970
2,3,ATL,Pete Maravich,Louisiana State University,10,658,24316,15948,2747,3563,.441,.667,.820,37.0,24.2,4.2,5.4,46.7,.092,0.8,11.4,1970
3,4,BOS,Dave Cowens,Florida State University,11,766,29565,13516,10444,2910,.460,.071,.783,38.6,17.6,13.6,3.8,86.3,.140,3.2,26.2,1970
4,5,CIN,Sam Lacey,New Mexico State University,13,1002,31873,10303,9687,3754,.441,.188,.738,31.8,10.3,9.7,3.7,50.9,.077,3.0,29.7,1970
5,1,CLE,Austin Carr,University of Notre Dame,10,682,19660,10473,1990,1878,.449,.154,.804,28.8,15.4,2.9,2.8,32.9,.080,-1.0,4.0,1971
6,2,POR,Sidney Wicks,"University of California, Los Angeles",10,760,25762,12803,6620,2437,.459,.000,.685,33.9,16.8,8.7,3.2,42.4,.079,0.6,12.9,1971
7,3,BUF,Elmore Smith,Kentucky State University,8,562,17879,7541,5962,808,.482,,.579,31.8,13.4,10.6,1.4,34.7,.093,0.3,7.0,1971
8,4,CIN,Ken Durrett,La Salle University,4,120,1205,484,233,54,.434,,.637,10.0,4.0,1.9,0.5,0.6,.025,-5.7,-0.9,1971
9,5,ATL,George Trapp,"California State University, Long Beach",6,379,6863,3353,1466,375,.444,,.752,18.1,8.8,3.9,1.0,8.4,.059,-3.8,-1.9,1971
10,1,POR,LaRue Martin,Loyola University of Chicago,4,271,3795,1430,1258,203,.416,,.685,14.0,5.3,4.6,0.7,1.9,.024,-4.6,-1.9,1972
11,2,BUF,Bob McAdoo,University of North Carolina,14,852,28327,18787,8048,1951,.503,.081,.754,33.2,22.1,9.4,2.3,89.1,.151,2.1,26.5,1972
12,3,CLE,Dwight Davis,University of Houston,5,340,8010,2936,1991,529,.423,,.730,23.6,8.6,5.9,1.6,11.4,.068,-1.2,1.1,1972
13,4,PHO,Corky Calhoun,University of Pennsylvania,8,542,10901,2896,1962,601,.460,,.782,20.1,5.3,3.6,1.1,14.4,.064,-2.1,-0.2,1972
14,5,PHI,Freddie Boyd,Oregon State University,6,327,7723,2784,533,986,.414,,.667,23.6,8.5,1.6,3.0,1.4,.009,-4.8,-3.8,1972
15,1,PHI,Doug Collins,Illinois State University,8,415,13945,7427,1339,1368,.501,.000,.833,33.6,17.9,3.2,3.3,38.0,.131,0.4,8.5,1973
16,2,CLE,Jim Brewer,University of Minnesota,9,703,15936,4099,4458,1038,.448,.077,.571,22.7,5.8,6.3,1.5,29.3,.088,0.8,11.1,1973
17,3,BUF,Ernie DiGregorio,Providence College,5,312,7859,2997,610,1594,.415,,.902,25.2,9.6,2.0,5.1,2.5,.016,-4.5,-5.0,1973
18,4,SEA,Mike Green,Louisiana Tech University,4,245,5410,2062,1329,340,.460,.000,.707,22.1,8.4,5.4,1.4,10.9,.097,-0.1,2.6,1973
19,5,LAL,Kermit Washington,American University,10,507,12815,4666,4232,695,.526,.000,.656,25.3,9.2,8.3,1.4,36.0,.135,1.6,11.7,1973
20,1,POR,Bill Walton,"University of California, Los Angeles",10,468,13250,6215,4923,1590,.521,.000,.660,28.3,13.3,10.5,3.4,39.3,.142,4.4,21.4,1974
21,2,PHI,Marvin Barnes,Providence College,4,171,3718,1569,946,252,.442,,.672,21.7,9.2,5.5,1.5,4.4,.057,-1.3,0.6,1974
22,3,SEA,Tom Burleson,North Carolina State University,7,446,9425,4190,2794,601,.445,.000,.726,21.1,9.4,6.3,1.3,22.9,.117,0.6,6.2,1974
23,4,PHO,John Shumate,University of Notre Dame,5,318,9201,3920,2388,574,.516,.000,.720,28.9,12.3,7.5,1.8,24.5,.128,0.7,6.3,1974
24,5,HOU,Bobby Jones,University of North Carolina,10,774,20177,8911,4256,1888,.550,.000,.780,26.1,11.5,5.5,2.4,73.7,.175,4.3,32.0,1974
25,1,ATL,David Thompson,North Carolina State University,8,509,16305,11264,1921,1631,.504,.277,.778,32.0,22.1,3.8,3.2,50.8,.150,1.1,12.7,1975
26,2,LAL,Dave Meyers,"University of California, Los Angeles",4,281,7471,3149,1771,652,.461,.200,.676,26.6,11.2,6.3,2.3,13.4,.086,-0.3,3.1,1975
27,3,ATL,Marvin Webster,Morgan State University,9,579,12966,4137,4044,722,.489,.333,.617,22.4,7.1,7.0,1.2,28.1,.104,0.6,8.6,1975
28,4,PHO,Alvan Adams,University of Oklahoma,13,988,27203,13910,6937,4012,.498,.133,.788,27.5,14.1,7.0,4.1,73.5,.130,3.7,39.3,1975
29,5,PHI,Darryl Dawkins,,14,726,17235,8733,4432,917,.572,.133,.685,23.7,12.0,6.1,1.3,46.4,.129,0.4,10.3,1975
30,1,HOU,John Lucas,University of Maryland,14,928,25556,9951,2151,6454,.449,.303,.776,27.5,10.7,2.3,7.0,53.7,.101,-0.4,10.3,1976
31,2,CHI,Scott May,Indiana University,7,355,8029,3690,1450,610,.462,.000,.811,22.6,10.4,4.1,1.7,17.4,.104,-1.0,2.0,1976
32,3,KCK,Richard Washington,"University of California, Los Angeles",6,351,7874,3456,2204,409,.453,.250,.711,22.4,9.8,6.3,1.2,10.8,.066,-2.3,-0.6,1976
33,4,DET,Leon Douglas,University of Alabama,7,456,10111,3587,2954,479,.495,.000,.601,22.2,7.9,6.5,1.1,15.2,.072,-1.6,1.1,1976
34,5,POR,Wally Walker,University of Virginia,8,565,10168,3968,1759,844,.467,.200,.643,18.0,7.0,3.1,1.5,12.9,.061,-2.3,-0.8,1976
35,1,MIL,Kent Benson,Indiana University,11,680,15719,6168,3881,1203,.493,.206,.757,23.1,9.1,5.7,1.8,33.6,.103,0.9,11.3,1977
36,2,KCK,Otis Birdsong,University of Houston,12,696,21627,12544,2072,2260,.506,.274,.655,31.1,18.0,3.0,3.2,48.2,.107,0.3,12.4,1977
