,Season,Lg,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
0,2018,NBA,L. James (8.93),J. Harden (8.32),R. Westbrook (7.47),D. Lillard (5.87),N. Jokic (5.59),K. Towns (5.53),G. Antetokounmpo (5.45),K. Lowry (4.99),A. Drummond (4.96),A. Davis (4.90)
1,2017,NBA,R. Westbrook (12.42),J. Harden (9.05),L. James (7.33),G. Antetokounmpo (6.89),J. Butler (6.32),S. Curry (6.23),K. Leonard (6.19),R. Gobert (5.45),N. Jokic (5.34),D. Cousins (5.30)
2,2016,NBA,S. Curry (9.81),R. Westbrook (8.31),L. James (7.58),J. Harden (6.86),K. Durant (6.42),K. Lowry (6.34),K. Leonard (6.20),C. Paul (5.99),D. Green (5.52),P. Millsap (4.90)
3,2015,NBA,S. Curry (7.86),J. Harden (7.83),R. Westbrook (7.55),C. Paul (6.89),L. James (5.93),A. Davis (5.65),D. Lillard (5.22),M. Gasol (4.58),D. Green (4.42),D. Jordan (4.35)
4,2014,NBA,K. Durant (8.54),L. James (7.96),K. Love (7.30),S. Curry (6.74),J. Noah (6.11),K. Lowry (5.66),J. Harden (5.42),C. Paul (5.18),P. George (4.92),B. Griffin (4.80)
5,2013,NBA,L. James (9.81),K. Durant (7.59),M. Gasol (5.72),J. Harden (5.67),C. Paul (5.63),S. Curry (5.56),K. Bryant (5.09),R. Westbrook (5.06),P. George (4.99),B. Griffin (4.51)
6,2012,NBA,L. James (7.56),C. Paul (5.44),K. Durant (4.60),J. Noah (3.82),B. Griffin (3.69),P. Millsap (3.68),A. Iguodala (3.60),M. Gasol (3.51),J. Smith (3.51),K. Love (3.49)
7,2011,NBA,L. James (8.19),C. Paul (6.12),D. Rose (5.99),D. Wade (5.65),P. Gasol (5.57),D. Howard (5.00),R. Westbrook (4.95),P. Pierce (4.70),M. Ginobili (4.49),A. Horford (4.35)
8,2010,NBA,L. James (10.89),D. Wade (7.99),K. Durant (5.78),J. Smith (5.45),D. Howard (5.40),T. Duncan (4.68),N. Hilario (4.64),J. Kidd* (4.59),M. Ginobili (4.51),P. Gasol (4.49)
9,2009,NBA,L. James (11.57),C. Paul (10.04),D. Wade (9.67),B. Roy (5.68),P. Gasol (5.29),K. Bryant (4.89),A. Iguodala (4.80),J. Kidd* (4.75),D. Howard (4.59),R. Lewis (4.51)
10,2008,NBA,L. James (10.09),C. Paul (8.52),K. Bryant (5.98),M. Ginobili (5.88),K. Garnett (5.52),A. Iguodala (5.21),C. Billups (5.16),D. Nowitzki (5.02),P. Pierce (4.91),M. Camby (4.73)
11,2007,NBA,L. James (7.55),T. Duncan (6.26),D. Nowitzki (6.19),S. Marion (5.69),E. Brand (5.50),K. Bryant (5.27),T. McGrady* (5.25),B. Wallace (5.24),G. Arenas (5.22),K. Garnett (5.21)
12,2006,NBA,L. James (9.55),K. Garnett (7.38),D. Wade (6.96),E. Brand (6.48),K. Bryant (6.46),G. Arenas (6.39),D. Nowitzki (5.97),S. Marion (5.94),C. Paul (5.72),B. Wallace (5.68)
13,2005,NBA,K. Garnett (9.25),L. James (8.83),T. McGrady* (7.03),D. Nowitzki (5.87),S. Marion (5.50),V. Carter (5.16),A. Iverson* (5.05),M. Ginobili (4.98),G. Arenas (4.95),E. Brand (4.78)
14,2004,NBA,K. Garnett (9.76),A. Kirilenko (7.49),T. Duncan (5.93),B. Wallace (5.50),T. McGrady* (5.29),B. Davis (5.18),E. Brand (4.82),K. Bryant (4.74),P. Stojakovic (4.71),S. Marion (4.71)
15,2003,NBA,K. Garnett (8.98),T. McGrady* (8.71),T. Duncan (7.58),K. Bryant (7.14),J. Kidd* (6.72),S. Marion (6.39),D. Nowitzki (6.05),S. Francis (5.77),S. O'Neal* (5.26),B. Wallace (5.09)
16,2002,NBA,T. Duncan (8.07),K. Garnett (6.96),E. Brand (6.24),B. Barry (5.99),T. McGrady* (5.90),B. Wallace (5.88),P. Pierce (5.72),S. O'Neal* (5.53),G. Payton* (5.51),J. Kidd* (5.45)
17,2001,NBA,S. Francis (6.96),S. O'Neal* (6.82),V. Carter (6.75),K. Garnett (6.22),R. Allen* (5.99),T. Duncan (5.93),T. McGrady* (5.87),K. Malone* (5.78),D. Nowitzki (5.29),J. Kidd* (5.25)
18,2000,NBA,S. O'Neal* (9.33),G. Payton* (7.62),K. Malone* (6.61),K. Garnett (6.56),T. Duncan (5.88),C. Webber (5.74),V. Carter (5.20),E. Jones (5.19),B. Outlaw (4.92),D. Robinson* (4.82)
19,1999,NBA,J. Kidd* (4.07),K. Malone* (4.06),G. Hill* (3.76),G. Payton* (3.75),D. Robinson* (3.70),S. O'Neal* (3.59),K. Garnett (3.48),T. Duncan (3.40),A. Iverson* (3.31),M. Blaylock (3.06)
20,1998,NBA,K. Malone* (6.93),D. Robinson* (6.07),T. Duncan (6.04),G. Payton* (5.58),G. Hill* (5.57),K. Garnett (5.47),M. Jordan* (5.30),B. Outlaw (5.28),W. Person (5.24),T. Hardaway (5.07)
21,1997,NBA,G. Hill* (7.94),K. Malone* (7.90),M. Blaylock (7.11),M. Jordan* (6.83),S. Pippen* (6.74),G. Payton* (6.16),C. Webber (6.07),T. Hardaway (5.62),K. Anderson (5.45),R. Miller* (5.22)
22,1996,NBA,D. Robinson* (8.51),M. Jordan* (8.33),K. Malone* (7.36),A. Hardaway (6.41),S. Pippen* (6.29),G. Hill* (5.84),G. Payton* (5.32),M. Blaylock (5.26),C. Barkley* (5.24),T. Brandon (5.16)
